"ИД";"Ссылка";"Картинка"
"1102";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/distillyatory_metallicheskie/ud1200/";"/images/imgulab/obshelab/135/UD-1200s.jpg"
"1104";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/distillyatory_metallicheskie/ud5000_distilyator_specializirovannyj_napolnyj/";"/images/imgulab/obshelab/135/UD-5000s.jpg"
"1119";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/nasosy_vakuumnye/jk180a_nasos_vakuumnyj_vodostrujnyj/";"/images/imgulab/obshelab/135/JK-180As.jpg"
"1118";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/nasosy_vakuumnye/ts2l_nasos_vakuumnyj_maslyanyj/";"/images/imgulab/obshelab/135/TS-2Ls.jpg"
"21391";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/nasosy_vakuumnye/ts4l_nasos_vakuumnyj_maslyanyj_ulab/";"/images/imgulab/obshelab/135/TS-2Ls.jpg"
"1120";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/mufelnye_pechi/uf1007_mufelnaya_pech_72_l/";"/images/imgulab/obshelab/135/UF-1007s.jpg"
"1121";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/mufelnye_pechi/uf1207/";"/images/imgulab/obshelab/135/UF-1207s.jpg"
"17446";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/mufelnye_pechi/uf1250t_mufelnaya_pech_trubchataya/";"/images/imgulab/uf-1250t.jpg"
"17447";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/mufelnye_pechi/uf1608_mufelnaya_pech_8l/";"/images/imgulab/uf-1608.jpg"
"1108";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/shkafy_sushilnye/ut4620_shkaf_sushilnyj_30_l/";"/images/imgulab/obshelab/135/UT-4620s.jpg"
"1113";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/shkafy_sushilnye/ut4663_shkaf_sushilnyj_627_l/";"/images/imgulab/obshelab/135/UT-4663s.jpg"
"1109";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/shkafy_sushilnye/ut4610_shkaf_sushilnyj_64_l/";"/images/imgulab/obshelab/135/UT-4610s.jpg"
"1110";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/shkafy_sushilnye/ut4686_shkaf_sushilnyj_85_l/";"/images/imgulab/obshelab/135/UT-4686s.jpg"
"1111";"/katalog_tovarov1/obwelaboratornoe_oborudovanie/shkafy_sushilnye/ut4603_shkaf_sushilnyj_123_l/";"/images/imgulab/obshelab/135/UT-4603s.jpg"
